Stream_1	Stream_2	Stream_3	Stream_4
172,6531982	180,0537109	101,0742188	93,58215332
172,6531982	180,0537109	101,0742188	93,58215332
172,6531982	180,0537109	101,0742188	93,58215332
172,6531982	180,0537109	101,0742188	93,58215332
172,6531982	180,0537109	101,0742188	93,58215332
172,6531982	180,0537109	101,0742188	93,58215332
172,6531982	180,0537109	101,0742188	93,58215332
172,6531982	180,0537109	101,1199951	93,58215332
172,6531982	180,0537109	101,0437012	93,58215332
172,6531982	180,0537109	101,0742188	93,58215332
172,6531982	180,0537109	101,0437012	93,58215332
172,6531982	180,0537109	101,0742188	93,58215332
172,6531982	180,0537109	101,0742188	93,58215332
172,6531982	180,0537109	101,1199951	93,58215332
172,6531982	180,0537109	101,1199951	93,58215332
172,6531982	180,0537109	101,0742188	93,58215332
172,6531982	180,0537109	101,0742188	93,58215332
172,6531982	180,0537109	101,0742188	93,58215332
172,6531982	180,0537109	101,0742188	93,58215332
172,6531982	180,0537109	101,0742188	93,58215332
172,6531982	180,0537109	101,0742188	93,58215332
172,6531982	180,0537109	101,1199951	93,58215332
172,6531982	180,0537109	101,0742188	93,58215332
172,6531982	180,0537109	101,0742188	93,58215332
172,6531982	180,0537109	101,1199951	93,58215332
172,6531982	180,0537109	101,0742188	93,58215332
172,6531982	180,0537109	101,0742188	93,58215332
172,6531982	180,0537109	101,0437012	93,58215332
172,6531982	180,0537109	101,0437012	93,58215332
172,6531982	180,0537109	101,0437012	93,58215332
172,6531982	180,0537109	101,0742188	93,58215332
172,6531982	180,0537109	101,0437012	93,58215332
172,6531982	180,0537109	100,9979248	93,58215332
172,6531982	180,0537109	101,0437012	93,58215332
172,6531982	180,0537109	101,0437012	93,58215332
172,6531982	180,0537109	101,0437012	93,58215332
172,6531982	180,0537109	101,0437012	93,58215332
172,6531982	180,0537109	101,0742188	93,58215332
172,6531982	180,0537109	101,0742188	93,58215332
172,6531982	180,0537109	101,0437012	93,58215332
172,6531982	180,0537109	101,0437012	93,58215332
172,6531982	180,0537109	100,9979248	93,58215332
172,6531982	180,0537109	101,0437012	93,58215332
172,6531982	180,0537109	101,0437012	93,58215332
172,6531982	180,0537109	101,0437012	93,58215332
172,6531982	180,0537109	101,0742188	93,58215332
172,6531982	180,0537109	101,0742188	93,58215332
172,6531982	180,0537109	101,0742188	93,58215332
172,6531982	180,0537109	101,0437012	93,58215332
172,6531982	180,0537109	101,0437012	93,58215332
172,6531982	180,0537109	101,0742188	93,58215332
172,6531982	180,0537109	101,0437012	93,58215332
172,6531982	180,0537109	101,0437012	93,58215332
172,6531982	180,0537109	101,0742188	93,58215332
172,6531982	180,0537109	101,1199951	93,53637695
172,6531982	180,0537109	101,0742188	93,58215332
172,6531982	180,0537109	101,1199951	93,53637695
172,6531982	180,0537109	101,1199951	93,53637695
172,6531982	180,0537109	101,1199951	93,58215332
172,6531982	180,0537109	101,0742188	93,58215332
172,6531982	180,0537109	101,0742188	93,58215332
172,6531982	180,0537109	101,0742188	93,58215332
172,6531982	180,0537109	101,0742188	93,58215332
172,6531982	180,0537109	101,0437012	93,58215332
172,6531982	180,0537109	100,8911133	93,42956543
172,6531982	180,0537109	100,6469727	93,26171875
172,6074219	180,0537109	100,3570557	92,89550781
171,37146	180,0537109	99,71618652	91,99523926
168,7774658	177,0324707	99,02954102	91,21704102
167,6330566	173,8739014	97,7935791	90,13366699
166,519165	172,7294922	96,35925293	88,91296387
164,9017334	171,5698242	94,49768066	87,17346191
162,109375	169,3115234	92,01049805	85,11352539
159,286499	166,5344238	89,2791748	82,67211914
156,2957764	163,6047363	86,44104004	80,18493652
153,0151367	160,0952148	82,82470703	77,19421387
149,3682861	156,3568115	78,78112793	73,59313965
145,7824707	152,5268555	75,18005371	70,40405273
142,1051025	148,5137939	71,74682617	67,03186035
138,3972168	144,4396973	67,7947998	63,6138916
134,6282959	140,3198242	64,65148926	60,19592285
130,7678223	136,1541748	60,66894531	56,74743652
126,8768311	132,1105957	57,28149414	53,20739746
123,336792	127,9602051	53,75671387	50,14038086
119,5373535	123,550415	50,46081543	46,96655273
115,814209	119,3695068	47,30224609	43,60961914
112,2741699	115,4327393	43,76220703	40,49682617
108,9324951	111,5112305	40,35949707	37,36877441
105,4077148	107,2998047	36,80419922	34,82055664
101,6387939	103,4698486	34,36279297	31,75354004
98,32763672	99,67041016	31,67724609	28,70178223
95,03173828	95,65734863	28,5949707	25,98571777
91,76635742	91,88842773	25,40588379	22,52197266
88,51623535	88,66882324	22,8729248	20,14160156
84,76257324	85,72387695	20,21789551	17,53234863
81,7565918	82,96203613	17,51708984	14,95361328
78,14025879	80,97839355	14,96887207	12,14599609
75,08850098	78,50646973	12,05444336	9,704589844
71,74682617	76,8737793	9,552001953	6,958007813
68,34411621	75,10375977	6,973266602	4,333496094
65,47546387	73,56262207	4,486083984	1,800537109
62,40844727	72,09777832	1,876831055	-0,411987305
59,26513672	70,11413574	-0,289916992	0,045776367
56,16760254	67,84057617	-0,457763672	0,152587891
53,13110352	65,76538086	0,198364258	-0,701904297
50,14038086	64,69726563	0,183105469	-0,045776367
47,40905762	63,43078613	-0,16784668	0,228881836
44,46411133	62,34741211	-0,061035156	0,274658203
41,56494141	60,8215332	0,366210938	-0,045776367
38,43688965	58,80737305	0,091552734	0,625610352
35,78186035	56,53381348	0,183105469	-0,122070313
33,03527832	54,04663086	0,137329102	-0,396728516
30,36499023	51,63574219	-0,045776367	0,228881836
27,66418457	48,85864258	-0,030517578	-0,152587891
24,94812012	45,98999023	0,076293945	-0,350952148
22,39990234	43,45703125	-0,015258789	-0,045776367
19,92797852	40,67993164	-0,015258789	0,137329102
17,33398438	37,8112793	0	-0,015258789
14,95361328	34,98840332	-0,030517578	-0,076293945
12,43591309	32,27233887	0	-0,076293945
9,948730469	29,0222168	-0,015258789	-0,16784668
7,49206543	26,29089355	0,015258789	-0,091552734
5,081176758	23,46801758	0,015258789	-0,045776367
2,716064453	21,05712891	0,015258789	-0,015258789
0,747680664	18,02062988	0,015258789	-0,076293945
0,701904297	15,27404785	0	-0,122070313
0,701904297	12,58850098	0	-0,106811523
0,381469727	9,826660156	-0,015258789	-0,076293945
-0,198364258	7,385253906	0	-0,045776367
0,091552734	5,096435547	0	-0,076293945
-0,16784668	2,487182617	0	-0,091552734
-0,274658203	0,503540039	0,015258789	-0,106811523
0,274658203	0,762939453	0,015258789	-0,091552734
0,473022461	0,610351563	-0,015258789	-0,061035156
0,228881836	0,076293945	0	-0,061035156
-0,030517578	-0,534057617	0	-0,076293945
0,045776367	-0,274658203	0	-0,106811523
0,091552734	-0,534057617	0	-0,122070313
0,228881836	-0,48828125	0,030517578	-0,091552734
0	-0,366210938	0,015258789	-0,076293945
0	0,259399414	0,015258789	-0,076293945
0,091552734	0,427246094	0	-0,076293945
0,228881836	0,335693359	0	-0,091552734
0,045776367	0,030517578	0,015258789	-0,091552734
0,045776367	-0,152587891	0,015258789	-0,106811523
0,045776367	-0,122070313	0	-0,091552734
0,137329102	0	0,015258789	-0,061035156
0,183105469	0,076293945	0,015258789	-0,091552734
0	0	0,015258789	-0,122070313
0,045776367	0,030517578	0,015258789	-0,091552734
0,091552734	-0,076293945	0,015258789	-0,076293945
0,137329102	-0,076293945	0,015258789	-0,091552734
0,091552734	-0,152587891	0,015258789	-0,122070313
0,091552734	-0,045776367	0	-0,091552734
0,045776367	0,030517578	0	-0,076293945
0,137329102	0,076293945	0	-0,076293945
0,137329102	-0,076293945	0	-0,076293945
0,045776367	-0,152587891	0	-0,061035156
0	-0,045776367	0	-0,061035156
0,045776367	0	0	-0,061035156
0,137329102	0	0,015258789	-0,106811523
0,091552734	-0,045776367	0,015258789	-0,091552734
0	0	0	-0,091552734
0	0,076293945	-0,015258789	-0,076293945
0,091552734	-0,045776367	0,015258789	-0,106811523
0,137329102	-0,045776367	0,045776367	-0,076293945
0,045776367	-0,045776367	0,015258789	-0,091552734
0	0,030517578	0	-0,091552734
0,091552734	0,030517578	0	-0,091552734
0,091552734	0	0	-0,076293945
0,091552734	-0,076293945	0	-0,076293945
0,045776367	0,030517578	0,015258789	-0,091552734
0,045776367	0,030517578	-0,015258789	-0,091552734
0,091552734	0	0	-0,061035156
0,137329102	-0,045776367	0	-0,106811523
0,045776367	-0,045776367	0	-0,061035156
0,045776367	0,030517578	-0,015258789	-0,061035156
